Id,Prediction
fadg0_si1909_59,ih
fadg0_si1909_60,ih
fadg0_si1909_61,ih
fadg0_si1909_62,ih
fadg0_si1909_63,ih
fadg0_si1909_64,ih
fadg0_si1909_65,ih
fadg0_si1909_66,ih
fadg0_si1909_67,ae
fadg0_si1909_68,ih
fadg0_si1909_69,ih
fadg0_si1909_70,ih
fadg0_si1909_71,ih
fadg0_si1909_72,ih
fadg0_si1909_73,ih
fadg0_si1909_74,ih
fadg0_si1909_75,ih
fadg0_si1909_76,ih
fadg0_si1909_77,ih
fadg0_si1909_78,ih
fadg0_si1909_79,ih
fadg0_si1909_80,ih
fadg0_si1909_81,ih
fadg0_si1909_82,ih
fadg0_si1909_83,ih
fadg0_si1909_84,ih
fadg0_si1909_85,ih
fadg0_si1909_86,ih
fadg0_si1909_87,aw
fadg0_si1909_88,aw
fadg0_si1909_89,sil
fadg0_si1909_90,sil
fadg0_si1909_91,jh
fadg0_si1909_92,jh
fadg0_si1909_93,ih
fadg0_si1909_94,ih
fadg0_si1909_95,ih
fadg0_si1909_96,ih
fadg0_si1909_97,ih
fadg0_si1909_98,ih
fadg0_si1909_99,ih
fadg0_si1909_100,ih
fadg0_si1909_101,ih
fadg0_si1909_102,iy
fadg0_si1909_103,iy
fadg0_si1909_104,iy
fadg0_si1909_105,ih
fadg0_si1909_106,s
fadg0_si1909_107,ih
fadg0_si1909_108,ih
fadg0_si1909_109,ih
fadg0_si1909_110,ih
fadg0_si1909_111,ih
fadg0_si1909_112,ih
fadg0_si1909_113,ih
fadg0_si1909_114,l
fadg0_si1909_115,l
fadg0_si1909_116,l
fadg0_si1909_117,l
fadg0_si1909_118,ih
fadg0_si1909_119,ih
fadg0_si1909_120,ih
fadg0_si1909_121,ih
fadg0_si1909_122,ih
fadg0_si1909_123,ih
fadg0_si1909_124,ih
fadg0_si1909_125,ih
fadg0_si1909_126,ih
fadg0_si1909_127,ih
fadg0_si1909_128,ih
fadg0_si1909_129,s
fadg0_si1909_130,s
fadg0_si1909_131,s
fadg0_si1909_132,s
fadg0_si1909_133,s
fadg0_si1909_134,s
fadg0_si1909_135,s
fadg0_si1909_136,s
fadg0_si1909_137,s
fadg0_si1909_138,s
fadg0_si1909_139,s
fadg0_si1909_140,s
fadg0_si1909_141,s
fadg0_si1909_142,ih
fadg0_si1909_143,ih
fadg0_si1909_144,ih
fadg0_si1909_145,ih
fadg0_si1909_146,aw
fadg0_si1909_147,aw
fadg0_si1909_148,aw
fadg0_si1909_149,r
fadg0_si1909_150,ih
fadg0_si1909_151,ih
fadg0_si1909_152,ih
fadg0_si1909_153,ih
fadg0_si1909_154,ih
fadg0_si1909_155,ih
fadg0_si1909_156,ih
fadg0_si1909_157,ih
fadg0_si1909_158,ih
fadg0_si1909_159,ih
fadg0_si1909_160,ih
fadg0_si1909_161,ih
fadg0_si1909_162,l
fadg0_si1909_163,ih
fadg0_si1909_164,l
fadg0_si1909_165,ih
fadg0_si1909_166,l
fadg0_si1909_167,l
fadg0_si1909_168,l
fadg0_si1909_169,ih
fadg0_si1909_170,ih
fadg0_si1909_171,s
fadg0_si1909_172,s
fadg0_si1909_173,s
fadg0_si1909_174,s
fadg0_si1909_175,s
fadg0_si1909_176,s
fadg0_si1909_177,s
fadg0_si1909_178,s
fadg0_si1909_179,s
fadg0_si1909_180,s
fadg0_si1909_181,s
fadg0_si1909_182,s
fadg0_si1909_183,s
fadg0_si1909_184,sil
fadg0_si1909_185,sil
fadg0_si1909_186,sil
fadg0_si1909_187,sil
fadg0_si1909_188,ih
fadg0_si1909_189,ih
fadg0_si1909_190,ih
fadg0_si1909_191,ih
fadg0_si1909_192,ih
fadg0_si1909_193,ih
fadg0_si1909_194,ih
fadg0_si1909_195,sil
fadg0_si1909_196,sil
fadg0_si1909_197,ih
fadg0_si1909_198,n
fadg0_si1909_199,n
fadg0_si1909_200,n
fadg0_si1909_201,ih
fadg0_si1909_202,ih
fadg0_si1909_203,iy
fadg0_si1909_204,ih
fadg0_si1909_205,ih
fadg0_si1909_206,ih
fadg0_si1909_207,y
fadg0_si1909_208,ih
fadg0_si1909_209,ih
fadg0_si1909_210,ih
fadg0_si1909_211,ih
fadg0_si1909_212,ih
fadg0_si1909_213,ih
fadg0_si1909_214,ih
fadg0_si1909_215,ih
fadg0_si1909_216,sil
fadg0_si1909_217,sil
fadg0_si1909_218,ih
fadg0_si1909_219,ih
fadg0_si1909_220,sil
fadg0_si1909_221,ih
fadg0_si1909_222,ih
fadg0_si1909_223,ih
fadg0_si1909_224,ih
fadg0_si1909_225,ih
fadg0_si1909_226,ih
fadg0_si1909_227,ih
fadg0_si1909_228,ih
fadg0_si1909_229,ih
fadg0_si1909_230,ih
fadg0_si1909_231,ih
fadg0_si1909_232,ih
fadg0_si1909_233,ih
fadg0_si1909_234,ih
fadg0_si1909_235,ih
fadg0_si1909_236,ih
fadg0_si1909_237,ih
fadg0_si1909_238,ih
fadg0_si1909_239,ih
fadg0_si1909_240,ih
fadg0_si1909_241,ih
fadg0_si1909_242,ih
fadg0_si1909_243,ih
fadg0_si1909_244,ih
fadg0_si1909_245,ih
fadg0_si1909_246,ih
fadg0_si1909_247,ih
fadg0_si1909_248,ih
fadg0_si1909_249,ih
fadg0_si1909_250,ih
fadg0_si1909_251,ih
fadg0_si1909_252,ih
fadg0_si1909_253,ih
fadg0_si1909_254,ih
fadg0_si1909_255,ih
fadg0_si1909_256,ih
fadg0_si1909_257,ih
fadg0_si1909_258,ih
fadg0_si1909_259,r
fadg0_si1909_260,r
fadg0_si1909_261,r
fadg0_si1909_262,ih
fadg0_si1909_263,ih
fadg0_si1909_264,ih
fadg0_si1909_265,ih
fadg0_si1909_266,er
fadg0_si1909_267,er
fadg0_si1909_268,sil
fadg0_si1909_269,sil
fadg0_si1909_270,sil
fadg0_si1909_271,sil
fadg0_si1909_272,sil
fadg0_si1909_273,sil
fadg0_si1909_274,sil
fadg0_si1909_275,sil
fadg0_si1909_276,sil
fadg0_si1909_277,sil
fadg0_si649_1,sil
fadg0_si649_2,sil
fadg0_si649_3,sil
fadg0_si649_4,sil
fadg0_si649_5,sil
fadg0_si649_6,sil
fadg0_si649_7,sil
fadg0_si649_8,sil
fadg0_si649_9,sil
fadg0_si649_10,sil
fadg0_si649_11,ih
fadg0_si649_12,k
fadg0_si649_13,k
fadg0_si649_14,ih
fadg0_si649_15,ih
fadg0_si649_16,ih
fadg0_si649_17,ih
fadg0_si649_18,ih
fadg0_si649_19,ih
fadg0_si649_20,sil
fadg0_si649_21,sil
fadg0_si649_22,ih
fadg0_si649_23,ih
fadg0_si649_24,ih
fadg0_si649_25,ih
fadg0_si649_26,s
fadg0_si649_27,s
fadg0_si649_28,s
fadg0_si649_29,s
fadg0_si649_30,s
fadg0_si649_31,s
fadg0_si649_32,s
fadg0_si649_33,ih
fadg0_si649_34,s
fadg0_si649_35,ih
fadg0_si649_36,ih
fadg0_si649_37,ih
fadg0_si649_38,ih
fadg0_si649_39,ih
fadg0_si649_40,ih
fadg0_si649_41,ih
fadg0_si649_42,aw
fadg0_si649_43,aw
fadg0_si649_44,aw
fadg0_si649_45,s
fadg0_si649_46,s
fadg0_si649_47,ih
fadg0_si649_48,ih
fadg0_si649_49,ih
fadg0_si649_50,ih
fadg0_si649_51,ih
fadg0_si649_52,ih
fadg0_si649_53,s
fadg0_si649_54,s
fadg0_si649_55,aw
fadg0_si649_56,r
fadg0_si649_57,r
fadg0_si649_58,r
fadg0_si649_59,s
fadg0_si649_60,s
fadg0_si649_61,s
fadg0_si649_62,s
fadg0_si649_63,s
fadg0_si649_64,s
fadg0_si649_65,s
fadg0_si649_66,s
fadg0_si649_67,s
fadg0_si649_68,s
fadg0_si649_69,s
fadg0_si649_70,s
fadg0_si649_71,s
fadg0_si649_72,s
fadg0_si649_73,ih
fadg0_si649_74,s
fadg0_si649_75,ih
fadg0_si649_76,ih
fadg0_si649_77,ih
fadg0_si649_78,ih
fadg0_si649_79,r
fadg0_si649_80,ih
fadg0_si649_81,ih
fadg0_si649_82,ih
fadg0_si649_83,ih
fadg0_si649_84,ih
fadg0_si649_85,ih
fadg0_si649_86,ih
fadg0_si649_87,ih
fadg0_si649_88,ih
fadg0_si649_89,ih
fadg0_si649_90,ih
fadg0_si649_91,ih
fadg0_si649_92,ih
fadg0_si649_93,ih
fadg0_si649_94,ih
fadg0_si649_95,ih
fadg0_si649_96,ih
fadg0_si649_97,ih
fadg0_si649_98,ih
fadg0_si649_99,l
fadg0_si649_100,l
fadg0_si649_101,l
fadg0_si649_102,l
fadg0_si649_103,ih
fadg0_si649_104,ih
fadg0_si649_105,ih
fadg0_si649_106,ih
fadg0_si649_107,ih
fadg0_si649_108,ih
fadg0_si649_109,ih
fadg0_si649_110,ih
fadg0_si649_111,ih
fadg0_si649_112,aw
fadg0_si649_113,ih
fadg0_si649_114,ih
fadg0_si649_115,ih
fadg0_si649_116,ih
fadg0_si649_117,ih
fadg0_si649_118,ih
fadg0_si649_119,ae
fadg0_si649_120,aw
fadg0_si649_121,aw
fadg0_si649_122,sil
fadg0_si649_123,sil
fadg0_si649_124,sil
fadg0_si649_125,sil
fadg0_si649_126,sil
fadg0_si649_127,ih
fadg0_si649_128,ih
fadg0_si649_129,ih
fadg0_si649_130,ih
fadg0_si649_131,ih
fadg0_si649_132,ih
fadg0_si649_133,ih
fadg0_si649_134,ih
fadg0_si649_135,ih
fadg0_si649_136,sil
fadg0_si649_137,ih
fadg0_si649_138,ih
fadg0_si649_139,ih
fadg0_si649_140,ih
fadg0_si649_141,ih
fadg0_si649_142,ih
fadg0_si649_143,ih
fadg0_si649_144,ih
fadg0_si649_145,iy
fadg0_si649_146,jh
fadg0_si649_147,jh
fadg0_si649_148,iy
fadg0_si649_149,ih
fadg0_si649_150,ih
fadg0_si649_151,ih
fadg0_si649_152,ih
fadg0_si649_153,ih
fadg0_si649_154,ih
fadg0_si649_155,iy
fadg0_si649_156,ih
fadg0_si649_157,ih
fadg0_si649_158,aw
fadg0_si649_159,ih
fadg0_si649_160,ih
fadg0_si649_161,ih
fadg0_si649_162,ih
fadg0_si649_163,ih
fadg0_si649_164,ih
fadg0_si649_165,ih
fadg0_si649_166,ih
fadg0_si649_167,aw
fadg0_si649_168,sil
fadg0_si649_169,sil
fadg0_si649_170,sil
fadg0_si649_171,ih
fadg0_si649_172,ih
fadg0_si649_173,ih
fadg0_si649_174,s
fadg0_si649_175,s
fadg0_si649_176,s
fadg0_si649_177,s
fadg0_si649_178,ih
fadg0_si649_179,ih
fadg0_si649_180,ih
fadg0_si649_181,iy
fadg0_si649_182,iy
fadg0_si649_183,iy
fadg0_si649_184,ih
fadg0_si649_185,ih
fadg0_si649_186,ih
fadg0_si649_187,ih
fadg0_si649_188,ih
fadg0_si649_189,ih
fadg0_si649_190,ih
fadg0_si649_191,ih
fadg0_si649_192,ih
fadg0_si649_193,ih
fadg0_si649_194,ih
fadg0_si649_195,ih
fadg0_si649_196,ih
fadg0_si649_197,sil
fadg0_si649_198,aw
fadg0_si649_199,sil
fadg0_si649_200,ih
fadg0_si649_201,sil
fadg0_si649_202,sil
fadg0_si649_203,sil
fadg0_si649_204,sil
fadg0_si649_205,sil
fadg0_si649_206,sil
fadg0_si649_207,sil
fadg0_si649_208,ih
fadg0_si649_209,ih
fadg0_si649_210,ih
fadg0_si649_211,ih
fadg0_si649_212,ih
fadg0_si649_213,aw
fadg0_si649_214,aw
fadg0_si649_215,aw
fadg0_si649_216,s
fadg0_si649_217,ih
fadg0_si649_218,ih
fadg0_si649_219,ih
fadg0_si649_220,ih
fadg0_si649_221,ih
fadg0_si649_222,ih
fadg0_si649_223,ih
fadg0_si649_224,ih
fadg0_si649_225,r
fadg0_si649_226,r
fadg0_si649_227,aw
fadg0_si649_228,sil
fadg0_si649_229,sil
fadg0_si649_230,sil
fadg0_si649_231,sil
fadg0_si649_232,sil
fadg0_si649_233,sil
fadg0_si649_234,ih
fadg0_si649_235,ih
fadg0_si649_236,ih
fadg0_si649_237,ih
fadg0_si649_238,ih
fadg0_si649_239,ih
fadg0_si649_240,ih
fadg0_si649_241,s
fadg0_si649_242,s
fadg0_si649_243,s
fadg0_si649_244,s
fadg0_si649_245,s
fadg0_si649_246,s
fadg0_si649_247,s
fadg0_si649_248,s
fadg0_si649_249,s
fadg0_si649_250,s
fadg0_si649_251,s
fadg0_si649_252,s
fadg0_si649_253,ih
fadg0_si649_254,ih
fadg0_si649_255,ih
fadg0_si649_256,s
fadg0_si649_257,ih
fadg0_si649_258,ih
fadg0_si649_259,ih
fadg0_si649_260,ih
fadg0_si649_261,aw
fadg0_si649_262,aw
fadg0_si649_263,aw
fadg0_si649_264,aw
fadg0_si649_265,aw
fadg0_si649_266,aw
fadg0_si649_267,aw
fadg0_si649_268,aw
fadg0_si649_269,aw
fadg0_si649_270,aw
fadg0_si649_271,r
fadg0_si649_272,r
fadg0_si649_273,r
fadg0_si649_274,ih
fadg0_si649_275,ih
fadg0_si649_276,ih
fadg0_si649_277,ih
fadg0_si649_278,ih
fadg0_si649_279,ih
fadg0_si649_280,s
fadg0_si649_281,s
fadg0_si649_282,s
fadg0_si649_283,s
fadg0_si649_284,s
fadg0_si649_285,s
fadg0_si649_286,s
fadg0_si649_287,s
fadg0_si649_288,s
fadg0_si649_289,s
fadg0_si649_290,sil
fadg0_si649_291,sil
fadg0_si649_292,sil
fadg0_si649_293,dh
fadg0_si649_294,ih
fadg0_si649_295,ih
fadg0_si649_296,ih
fadg0_si649_297,ih
fadg0_si649_298,ih
fadg0_si649_299,ih
fadg0_si649_300,ih
fadg0_si649_301,ih
fadg0_si649_302,ih
fadg0_si649_303,ih
fadg0_si649_304,ih
fadg0_si649_305,ih
fadg0_si649_306,ih
fadg0_si649_307,ih
fadg0_si649_308,sil
fadg0_si649_309,sil
fadg0_si649_310,sil
fadg0_si649_311,ih
fadg0_si649_312,sil
fadg0_si649_313,sil
fadg0_si649_314,sil
fadg0_si649_315,sil
fadg0_si649_316,ih
fadg0_si649_317,ih
fadg0_si649_318,ih
fadg0_si649_319,ih
fadg0_si649_320,ih
fadg0_si649_321,ih
fadg0_si649_322,s
fadg0_si649_323,ih
fadg0_si649_324,ih
fadg0_si649_325,ih
fadg0_si649_326,ih
fadg0_si649_327,ih
fadg0_si649_328,ih
fadg0_si649_329,ih
fadg0_si649_330,ih
fadg0_si649_331,ih
fadg0_si649_332,ih
fadg0_si649_333,ih
fadg0_si649_334,ih
fadg0_si649_335,ih
fadg0_si649_336,ih
fadg0_si649_337,ih
fadg0_si649_338,r
fadg0_si649_339,r
fadg0_si649_340,s
fadg0_si649_341,aw
fadg0_si649_342,ih
fadg0_si649_343,ih
fadg0_si649_344,aa
fadg0_si649_345,aw
fadg0_si649_346,aw
fadg0_si649_347,aw
fadg0_si649_348,ih
fadg0_si649_349,ih
fadg0_si649_350,ih
fadg0_si649_351,aw
fadg0_si649_352,aw
fadg0_si649_353,w
fadg0_si649_354,w
fadg0_si649_355,w
fadg0_si649_356,w
fadg0_si649_357,w
fadg0_si649_358,ih
fadg0_si649_359,ih
fadg0_si649_360,r
fadg0_si649_361,ih
fadg0_si649_362,ih
fadg0_si649_363,ih
fadg0_si649_364,ih
fadg0_si649_365,ih
fadg0_si649_366,ih
fadg0_si649_367,ih
fadg0_si649_368,ih
fadg0_si649_369,ih
fadg0_si649_370,ih
fadg0_si649_371,ih
fadg0_si649_372,ih
fadg0_si649_373,ih
fadg0_si649_374,ih
fadg0_si649_375,ih
fadg0_si649_376,ih
fadg0_si649_377,ih
fadg0_si649_378,ih
fadg0_si649_379,ih
fadg0_si649_380,sil
fadg0_si649_381,sil
fadg0_si649_382,sil
fadg0_si649_383,sil
fadg0_si649_384,sil
fadg0_si649_385,ih
fadg0_si649_386,ih
fadg0_si649_387,ih
fadg0_si649_388,ih
fadg0_si649_389,ih
fadg0_si649_390,l
fadg0_si649_391,l
fadg0_si649_392,l
fadg0_si649_393,l
fadg0_si649_394,l
fadg0_si649_395,ih
fadg0_si649_396,ih
fadg0_si649_397,ih
fadg0_si649_398,ih
fadg0_si649_399,ih
fadg0_si649_400,ih
fadg0_si649_401,ih
fadg0_si649_402,ih
fadg0_si649_403,ih
fadg0_si649_404,ih
fadg0_si649_405,ih
fadg0_si649_406,ih
fadg0_si649_407,ih
fadg0_si649_408,ih
fadg0_si649_409,ih
fadg0_si649_410,ih
fadg0_si649_411,r
fadg0_si649_412,r
fadg0_si649_413,r
fadg0_si649_414,ih
fadg0_si649_415,ih
fadg0_si649_416,ih
fadg0_si649_417,ih
fadg0_si649_418,ih
fadg0_si649_419,ih
fadg0_si649_420,ih
fadg0_si649_421,ae
fadg0_si649_422,ae
fadg0_si649_423,ih
fadg0_si649_424,ih
fadg0_si649_425,ih
fadg0_si649_426,ih
fadg0_si649_427,ih
fadg0_si649_428,ih
fadg0_si649_429,ih
fadg0_si649_430,ih
fadg0_si649_431,ih
fadg0_si649_432,ih
fadg0_si649_433,ih
fadg0_si649_434,ih
fadg0_si649_435,ih
fadg0_si649_436,ih
fadg0_si649_437,ih
fadg0_si649_438,ih
fadg0_si649_439,aw
fadg0_si649_440,sil
fadg0_si649_441,sil
fadg0_si649_442,sil
fadg0_si649_443,sil
fadg0_si649_444,sil
fadg0_si649_445,sil
fadg0_si649_446,sil
fadg0_si649_447,ih
fadg0_si649_448,sil
fadg0_si649_449,sil
fadg0_si649_450,sil
fadg0_si649_451,sil
fadg0_si649_452,aw
fadg0_si649_453,sil
fadg0_si649_454,sil
fadg0_si649_455,sil
fadg0_si649_456,sil
fadg0_si649_457,sil
fadg0_si649_458,sil
fadg0_si649_459,sil
fadg0_sx109_1,sil
fadg0_sx109_2,sil
fadg0_sx109_3,sil
fadg0_sx109_4,sil
fadg0_sx109_5,sil
fadg0_sx109_6,sil
fadg0_sx109_7,sil
fadg0_sx109_8,sil
fadg0_sx109_9,sil
fadg0_sx109_10,sil
fadg0_sx109_11,sil
fadg0_sx109_12,sil
fadg0_sx109_13,ih
fadg0_sx109_14,ih
fadg0_sx109_15,ih
fadg0_sx109_16,ih
fadg0_sx109_17,ih
fadg0_sx109_18,ih
fadg0_sx109_19,ih
fadg0_sx109_20,ih
fadg0_sx109_21,s
fadg0_sx109_22,ih
fadg0_sx109_23,ih
fadg0_sx109_24,ih
fadg0_sx109_25,ih
fadg0_sx109_26,ih
fadg0_sx109_27,ih
fadg0_sx109_28,ih
fadg0_sx109_29,s
fadg0_sx109_30,s
fadg0_sx109_31,s
fadg0_sx109_32,s
fadg0_sx109_33,s
fadg0_sx109_34,ih
fadg0_sx109_35,s
fadg0_sx109_36,s
fadg0_sx109_37,s
fadg0_sx109_38,s
fadg0_sx109_39,s
fadg0_sx109_40,s
fadg0_sx109_41,s
fadg0_sx109_42,s
fadg0_sx109_43,s
fadg0_sx109_44,s
fadg0_sx109_45,ih
fadg0_sx109_46,ih
fadg0_sx109_47,ih
fadg0_sx109_48,aw
fadg0_sx109_49,s
fadg0_sx109_50,s
fadg0_sx109_51,aw
fadg0_sx109_52,s
fadg0_sx109_53,s
fadg0_sx109_54,ih
fadg0_sx109_55,ih
fadg0_sx109_56,ih
fadg0_sx109_57,s
fadg0_sx109_58,ih
fadg0_sx109_59,s
fadg0_sx109_60,aw
fadg0_sx109_61,sil
fadg0_sx109_62,sil
fadg0_sx109_63,sil
fadg0_sx109_64,sil
fadg0_sx109_65,sil
fadg0_sx109_66,ih
fadg0_sx109_67,ih
fadg0_sx109_68,ih
fadg0_sx109_69,ih
fadg0_sx109_70,ih
fadg0_sx109_71,ih
fadg0_sx109_72,ih
fadg0_sx109_73,ih
fadg0_sx109_74,ih
fadg0_sx109_75,ih
fadg0_sx109_76,ih
fadg0_sx109_77,ih
fadg0_sx109_78,aw
fadg0_sx109_79,aw
fadg0_sx109_80,aw
fadg0_sx109_81,aw
fadg0_sx109_82,s
fadg0_sx109_83,sil
fadg0_sx109_84,s
fadg0_sx109_85,ih
fadg0_sx109_86,s
fadg0_sx109_87,s
fadg0_sx109_88,s
fadg0_sx109_89,s
fadg0_sx109_90,s
fadg0_sx109_91,s
fadg0_sx109_92,s
fadg0_sx109_93,s
fadg0_sx109_94,s
fadg0_sx109_95,sil
fadg0_sx109_96,sil
fadg0_sx109_97,sil
fadg0_sx109_98,ih
fadg0_sx109_99,ih
fadg0_sx109_100,ih
fadg0_sx109_101,aw
fadg0_sx109_102,r
fadg0_sx109_103,r
fadg0_sx109_104,ih
fadg0_sx109_105,ih
fadg0_sx109_106,ih
fadg0_sx109_107,ih
fadg0_sx109_108,ih
fadg0_sx109_109,aw
fadg0_sx109_110,ae
fadg0_sx109_111,ih
fadg0_sx109_112,ae
fadg0_sx109_113,ae
fadg0_sx109_114,ae
fadg0_sx109_115,ae
fadg0_sx109_116,ae
fadg0_sx109_117,aw
fadg0_sx109_118,ay
fadg0_sx109_119,aw
fadg0_sx109_120,aw
fadg0_sx109_121,aw
fadg0_sx109_122,n
fadg0_sx109_123,aw
fadg0_sx109_124,ay
fadg0_sx109_125,ih
fadg0_sx109_126,aw
fadg0_sx109_127,m
fadg0_sx109_128,aa
fadg0_sx109_129,aw
fadg0_sx109_130,aa
fadg0_sx109_131,aw
